lux,LDR,DV1
0.07844363453469103,100686.04708533375,0.4517281203605758
0.14488790665858936,90456.2706570887,0.4977290085820218
0.14342293292413721,81265.84703691631,0.5478500624639511
0.19296290236458535,73009.17721517781,0.6023430381726245
0.21937429759730814,65591.39111927117,0.6614509835003296
0.21758081343894897,58927.2575457379,0.7254024283038045
0.30989294346360785,52940.204844069944,0.7944047866363255
0.31195901060055564,47561.44109976144,0.8686370432134163
0.36516327646816726,42729.16370740986,0.9482418548764819
0.5844466143098785,38387.84925177109,1.0333172640065191
0.5989386219106922,34487.61553742166,1.1239082921389996
0.7242158666808762,30983.648436676438,1.2199987533382899
1.0780702386726833,27835.68697017932,1.321503691459551
1.3195835573437102,25007.560703684685,1.4282628950704725
1.4406629249382457,22466.77414566591,1.540035969562891
1.78091162465796,20184.133370432657,1.6564994391715182
2.1499097405994156,18133.41057661386,1.7772463052013654
2.334852300619594,16291.042726745663,1.9017883968951679
3.008940568670008,14635.860805298764,2.029561718795141
3.9929763808300933,13148.846584289286,2.1599348294931517
4.469007459277156,11812.914101682509,2.2922200934236163
5.33825464737907,10612.713341751414,2.4256874469177294
6.695456790289007,9534.453861655245,2.5595801323192595
7.559156907395171,8565.746337687326,2.693131700205505
7.719096335262603,7695.460210540677,2.825583477632101
10.007935559516312,6913.5957939193,2.956201662214003
13.269708731133385,6211.169377008635,3.084293232474155
12.518805433235954,5580.110000619473,3.209219960450342
18.731783025180057,5013.166720951614,3.3304099614255627
23.589871829061543,4503.825295427286,3.4473664003498317
30.05797374358997,4046.233333305189,3.5596731745474006
35.65181466405866,3635.1330510471703,3.6669975872483347
32.92714708554317,3265.8008597891258,3.7690901988102663
55.754324794559885,2933.9930907692647,3.865782179494437
59.288344908654366,2635.8972350927806,3.956980582363281
75.78091765354327,2368.088137572295,4.042662005949643
93.52570918110693,2127.4886413063173,4.122865127220125
108.41390325693966,1911.3342307974885,4.197682562774699
102.1812080458732,1717.1412673560014,4.267252468765585
132.02579693239844,1542.6784518093982,4.331750226669628
171.260520361217,1385.9411866220341,4.391380491122485
237.57831818785183,1245.1285428420672,4.4463698044453945
286.9897837313074,1118.6225672235619,4.496959915465998
321.269395612072,1004.9696917602105,4.543401881191611
432.3597109231814,902.8640320240982,4.585950980690859
437.58664581870767,811.1323824055307,4.624862431744153
553.5289657038887,728.7207358475338,4.660387872054176
770.9638277273483,654.6821731852365,4.69277254706251
830.2554886506495,588.1659829372817,4.7222531343553245
1042.4656363438996,528.4078865344304,4.749056128795004
